predictor,true_class_id,true_class_name,predicted_class_id,predicted_class_name,count
resnet50_linear_head,0,airplane,0,airplane,50
resnet50_linear_head,0,airplane,1,bird,0
resnet50_linear_head,0,airplane,2,car,0
resnet50_linear_head,0,airplane,3,cat,0
resnet50_linear_head,0,airplane,4,deer,0
resnet50_linear_head,0,airplane,5,dog,0
resnet50_linear_head,0,airplane,6,horse,0
resnet50_linear_head,0,airplane,7,monkey,0
resnet50_linear_head,0,airplane,8,ship,0
resnet50_linear_head,0,airplane,9,truck,0
resnet50_linear_head,1,bird,0,airplane,0
resnet50_linear_head,1,bird,1,bird,47
resnet50_linear_head,1,bird,2,car,0
resnet50_linear_head,1,bird,3,cat,2
resnet50_linear_head,1,bird,4,deer,0
resnet50_linear_head,1,bird,5,dog,0
resnet50_linear_head,1,bird,6,horse,0
resnet50_linear_head,1,bird,7,monkey,1
resnet50_linear_head,1,bird,8,ship,0
resnet50_linear_head,1,bird,9,truck,0
resnet50_linear_head,2,car,0,airplane,0
resnet50_linear_head,2,car,1,bird,0
resnet50_linear_head,2,car,2,car,49
resnet50_linear_head,2,car,3,cat,0
resnet50_linear_head,2,car,4,deer,0
resnet50_linear_head,2,car,5,dog,0
resnet50_linear_head,2,car,6,horse,0
resnet50_linear_head,2,car,7,monkey,0
resnet50_linear_head,2,car,8,ship,0
resnet50_linear_head,2,car,9,truck,1
resnet50_linear_head,3,cat,0,airplane,0
resnet50_linear_head,3,cat,1,bird,0
resnet50_linear_head,3,cat,2,car,0
resnet50_linear_head,3,cat,3,cat,47
resnet50_linear_head,3,cat,4,deer,0
resnet50_linear_head,3,cat,5,dog,3
resnet50_linear_head,3,cat,6,horse,0
resnet50_linear_head,3,cat,7,monkey,0
resnet50_linear_head,3,cat,8,ship,0
resnet50_linear_head,3,cat,9,truck,0
resnet50_linear_head,4,deer,0,airplane,0
resnet50_linear_head,4,deer,1,bird,0
resnet50_linear_head,4,deer,2,car,0
resnet50_linear_head,4,deer,3,cat,0
resnet50_linear_head,4,deer,4,deer,49
resnet50_linear_head,4,deer,5,dog,0
resnet50_linear_head,4,deer,6,horse,1
resnet50_linear_head,4,deer,7,monkey,0
resnet50_linear_head,4,deer,8,ship,0
resnet50_linear_head,4,deer,9,truck,0
resnet50_linear_head,5,dog,0,airplane,0
resnet50_linear_head,5,dog,1,bird,0
resnet50_linear_head,5,dog,2,car,0
resnet50_linear_head,5,dog,3,cat,1
resnet50_linear_head,5,dog,4,deer,1
resnet50_linear_head,5,dog,5,dog,48
resnet50_linear_head,5,dog,6,horse,0
resnet50_linear_head,5,dog,7,monkey,0
resnet50_linear_head,5,dog,8,ship,0
resnet50_linear_head,5,dog,9,truck,0
resnet50_linear_head,6,horse,0,airplane,0
resnet50_linear_head,6,horse,1,bird,0
resnet50_linear_head,6,horse,2,car,0
resnet50_linear_head,6,horse,3,cat,0
resnet50_linear_head,6,horse,4,deer,1
resnet50_linear_head,6,horse,5,dog,0
resnet50_linear_head,6,horse,6,horse,49
resnet50_linear_head,6,horse,7,monkey,0
resnet50_linear_head,6,horse,8,ship,0
resnet50_linear_head,6,horse,9,truck,0
resnet50_linear_head,7,monkey,0,airplane,0
resnet50_linear_head,7,monkey,1,bird,0
resnet50_linear_head,7,monkey,2,car,0
resnet50_linear_head,7,monkey,3,cat,1
resnet50_linear_head,7,monkey,4,deer,0
resnet50_linear_head,7,monkey,5,dog,0
resnet50_linear_head,7,monkey,6,horse,0
resnet50_linear_head,7,monkey,7,monkey,49
resnet50_linear_head,7,monkey,8,ship,0
resnet50_linear_head,7,monkey,9,truck,0
resnet50_linear_head,8,ship,0,airplane,0
resnet50_linear_head,8,ship,1,bird,0
resnet50_linear_head,8,ship,2,car,0
resnet50_linear_head,8,ship,3,cat,0
resnet50_linear_head,8,ship,4,deer,0
resnet50_linear_head,8,ship,5,dog,0
resnet50_linear_head,8,ship,6,horse,0
resnet50_linear_head,8,ship,7,monkey,0
resnet50_linear_head,8,ship,8,ship,50
resnet50_linear_head,8,ship,9,truck,0
resnet50_linear_head,9,truck,0,airplane,0
resnet50_linear_head,9,truck,1,bird,0
resnet50_linear_head,9,truck,2,car,0
resnet50_linear_head,9,truck,3,cat,0
resnet50_linear_head,9,truck,4,deer,0
resnet50_linear_head,9,truck,5,dog,0
resnet50_linear_head,9,truck,6,horse,0
resnet50_linear_head,9,truck,7,monkey,0
resnet50_linear_head,9,truck,8,ship,0
resnet50_linear_head,9,truck,9,truck,50
vit_b_16_linear_head,0,airplane,0,airplane,50
vit_b_16_linear_head,0,airplane,1,bird,0
vit_b_16_linear_head,0,airplane,2,car,0
vit_b_16_linear_head,0,airplane,3,cat,0
vit_b_16_linear_head,0,airplane,4,deer,0
vit_b_16_linear_head,0,airplane,5,dog,0
vit_b_16_linear_head,0,airplane,6,horse,0
vit_b_16_linear_head,0,airplane,7,monkey,0
vit_b_16_linear_head,0,airplane,8,ship,0
vit_b_16_linear_head,0,airplane,9,truck,0
vit_b_16_linear_head,1,bird,0,airplane,0
vit_b_16_linear_head,1,bird,1,bird,48
vit_b_16_linear_head,1,bird,2,car,0
vit_b_16_linear_head,1,bird,3,cat,1
vit_b_16_linear_head,1,bird,4,deer,0
vit_b_16_linear_head,1,bird,5,dog,1
vit_b_16_linear_head,1,bird,6,horse,0
vit_b_16_linear_head,1,bird,7,monkey,0
vit_b_16_linear_head,1,bird,8,ship,0
vit_b_16_linear_head,1,bird,9,truck,0
vit_b_16_linear_head,2,car,0,airplane,0
vit_b_16_linear_head,2,car,1,bird,0
vit_b_16_linear_head,2,car,2,car,49
vit_b_16_linear_head,2,car,3,cat,0
vit_b_16_linear_head,2,car,4,deer,0
vit_b_16_linear_head,2,car,5,dog,0
vit_b_16_linear_head,2,car,6,horse,0
vit_b_16_linear_head,2,car,7,monkey,0
vit_b_16_linear_head,2,car,8,ship,0
vit_b_16_linear_head,2,car,9,truck,1
vit_b_16_linear_head,3,cat,0,airplane,0
vit_b_16_linear_head,3,cat,1,bird,0
vit_b_16_linear_head,3,cat,2,car,0
vit_b_16_linear_head,3,cat,3,cat,49
vit_b_16_linear_head,3,cat,4,deer,0
vit_b_16_linear_head,3,cat,5,dog,0
vit_b_16_linear_head,3,cat,6,horse,0
vit_b_16_linear_head,3,cat,7,monkey,1
vit_b_16_linear_head,3,cat,8,ship,0
vit_b_16_linear_head,3,cat,9,truck,0
vit_b_16_linear_head,4,deer,0,airplane,0
vit_b_16_linear_head,4,deer,1,bird,0
vit_b_16_linear_head,4,deer,2,car,0
vit_b_16_linear_head,4,deer,3,cat,0
vit_b_16_linear_head,4,deer,4,deer,48
vit_b_16_linear_head,4,deer,5,dog,1
vit_b_16_linear_head,4,deer,6,horse,1
vit_b_16_linear_head,4,deer,7,monkey,0
vit_b_16_linear_head,4,deer,8,ship,0
vit_b_16_linear_head,4,deer,9,truck,0
vit_b_16_linear_head,5,dog,0,airplane,0
vit_b_16_linear_head,5,dog,1,bird,1
vit_b_16_linear_head,5,dog,2,car,1
vit_b_16_linear_head,5,dog,3,cat,0
vit_b_16_linear_head,5,dog,4,deer,0
vit_b_16_linear_head,5,dog,5,dog,47
vit_b_16_linear_head,5,dog,6,horse,1
vit_b_16_linear_head,5,dog,7,monkey,0
vit_b_16_linear_head,5,dog,8,ship,0
vit_b_16_linear_head,5,dog,9,truck,0
vit_b_16_linear_head,6,horse,0,airplane,0
vit_b_16_linear_head,6,horse,1,bird,0
vit_b_16_linear_head,6,horse,2,car,0
vit_b_16_linear_head,6,horse,3,cat,0
vit_b_16_linear_head,6,horse,4,deer,2
vit_b_16_linear_head,6,horse,5,dog,1
vit_b_16_linear_head,6,horse,6,horse,47
vit_b_16_linear_head,6,horse,7,monkey,0
vit_b_16_linear_head,6,horse,8,ship,0
vit_b_16_linear_head,6,horse,9,truck,0
vit_b_16_linear_head,7,monkey,0,airplane,0
vit_b_16_linear_head,7,monkey,1,bird,0
vit_b_16_linear_head,7,monkey,2,car,0
vit_b_16_linear_head,7,monkey,3,cat,0
vit_b_16_linear_head,7,monkey,4,deer,0
vit_b_16_linear_head,7,monkey,5,dog,0
vit_b_16_linear_head,7,monkey,6,horse,0
vit_b_16_linear_head,7,monkey,7,monkey,50
vit_b_16_linear_head,7,monkey,8,ship,0
vit_b_16_linear_head,7,monkey,9,truck,0
vit_b_16_linear_head,8,ship,0,airplane,2
vit_b_16_linear_head,8,ship,1,bird,0
vit_b_16_linear_head,8,ship,2,car,0
