candidate_id,pair_number,pair_name,schedule_rank,direction_code,direction,content_official_index,content_class_id,content_class_name,style_official_index,style_class_id,style_class_name,shape_class_id,shape_class_name,texture_class_id,texture_class_name,selection_seed,alpha,part_of_initial_generation
p01_r01_a_to_b,1,airplane__cat,1,a_to_b,airplane_shape__cat_texture,6455,0,airplane,7797,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r01_b_to_a,1,airplane__cat,1,b_to_a,cat_shape__airplane_texture,7797,3,cat,6455,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r02_a_to_b,1,airplane__cat,2,a_to_b,airplane_shape__cat_texture,562,0,airplane,3276,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r02_b_to_a,1,airplane__cat,2,b_to_a,cat_shape__airplane_texture,3276,3,cat,562,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r03_a_to_b,1,airplane__cat,3,a_to_b,airplane_shape__cat_texture,4130,0,airplane,672,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r03_b_to_a,1,airplane__cat,3,b_to_a,cat_shape__airplane_texture,672,3,cat,4130,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r04_a_to_b,1,airplane__cat,4,a_to_b,airplane_shape__cat_texture,2024,0,airplane,1204,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r04_b_to_a,1,airplane__cat,4,b_to_a,cat_shape__airplane_texture,1204,3,cat,2024,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r05_a_to_b,1,airplane__cat,5,a_to_b,airplane_shape__cat_texture,3,0,airplane,4229,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r05_b_to_a,1,airplane__cat,5,b_to_a,cat_shape__airplane_texture,4229,3,cat,3,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r06_a_to_b,1,airplane__cat,6,a_to_b,airplane_shape__cat_texture,7150,0,airplane,4609,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r06_b_to_a,1,airplane__cat,6,b_to_a,cat_shape__airplane_texture,4609,3,cat,7150,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r07_a_to_b,1,airplane__cat,7,a_to_b,airplane_shape__cat_texture,7372,0,airplane,3562,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r07_b_to_a,1,airplane__cat,7,b_to_a,cat_shape__airplane_texture,3562,3,cat,7372,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r08_a_to_b,1,airplane__cat,8,a_to_b,airplane_shape__cat_texture,42,0,airplane,5528,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r08_b_to_a,1,airplane__cat,8,b_to_a,cat_shape__airplane_texture,5528,3,cat,42,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r09_a_to_b,1,airplane__cat,9,a_to_b,airplane_shape__cat_texture,7009,0,airplane,1401,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r09_b_to_a,1,airplane__cat,9,b_to_a,cat_shape__airplane_texture,1401,3,cat,7009,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r10_a_to_b,1,airplane__cat,10,a_to_b,airplane_shape__cat_texture,3876,0,airplane,4330,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r10_b_to_a,1,airplane__cat,10,b_to_a,cat_shape__airplane_texture,4330,3,cat,3876,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r11_a_to_b,1,airplane__cat,11,a_to_b,airplane_shape__cat_texture,3437,0,airplane,4821,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r11_b_to_a,1,airplane__cat,11,b_to_a,cat_shape__airplane_texture,4821,3,cat,3437,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r12_a_to_b,1,airplane__cat,12,a_to_b,airplane_shape__cat_texture,4615,0,airplane,6952,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r12_b_to_a,1,airplane__cat,12,b_to_a,cat_shape__airplane_texture,6952,3,cat,4615,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r13_a_to_b,1,airplane__cat,13,a_to_b,airplane_shape__cat_texture,1553,0,airplane,4168,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r13_b_to_a,1,airplane__cat,13,b_to_a,cat_shape__airplane_texture,4168,3,cat,1553,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r14_a_to_b,1,airplane__cat,14,a_to_b,airplane_shape__cat_texture,5999,0,airplane,372,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r14_b_to_a,1,airplane__cat,14,b_to_a,cat_shape__airplane_texture,372,3,cat,5999,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r15_a_to_b,1,airplane__cat,15,a_to_b,airplane_shape__cat_texture,4675,0,airplane,1431,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r15_b_to_a,1,airplane__cat,15,b_to_a,cat_shape__airplane_texture,1431,3,cat,4675,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r16_a_to_b,1,airplane__cat,16,a_to_b,airplane_shape__cat_texture,4785,0,airplane,7793,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r16_b_to_a,1,airplane__cat,16,b_to_a,cat_shape__airplane_texture,7793,3,cat,4785,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r17_a_to_b,1,airplane__cat,17,a_to_b,airplane_shape__cat_texture,4617,0,airplane,4908,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r17_b_to_a,1,airplane__cat,17,b_to_a,cat_shape__airplane_texture,4908,3,cat,4617,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r18_a_to_b,1,airplane__cat,18,a_to_b,airplane_shape__cat_texture,1175,0,airplane,738,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r18_b_to_a,1,airplane__cat,18,b_to_a,cat_shape__airplane_texture,738,3,cat,1175,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r19_a_to_b,1,airplane__cat,19,a_to_b,airplane_shape__cat_texture,1648,0,airplane,2754,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r19_b_to_a,1,airplane__cat,19,b_to_a,cat_shape__airplane_texture,2754,3,cat,1648,0,airplane,3,cat,0,airplane,6304,0.8,True
p01_r20_a_to_b,1,airplane__cat,20,a_to_b,airplane_shape__cat_texture,5912,0,airplane,2536,3,cat,0,airplane,3,cat,6304,0.8,True
p01_r20_b_to_a,1,airplane__cat,20,b_to_a,cat_shape__airplane_texture,2536,3,cat,5912,0,airplane,3,cat,0,airplane,6304,0.8,True
