candidate_id,pair_number,pair_name,schedule_rank,direction_code,direction,content_official_index,content_class_id,content_class_name,style_official_index,style_class_id,style_class_name,shape_class_id,shape_class_name,texture_class_id,texture_class_name,selection_seed,alpha,part_of_initial_generation,output_path,output_sha256,output_width,output_height,pixel_minimum,pixel_maximum,pixel_mean,pixel_standard_deviation,model_predictions_used_for_generation
p01_r21_a_to_b,1,airplane__cat,21,a_to_b,airplane_shape__cat_texture,4893,0,airplane,7744,3,cat,0,airplane,3,cat,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r21_a_to_b.png,eeb23e1a267d93d795d419e669d39d3c32c0ac59a0ac6e82ffb341abbf01f5a4,224,224,0.0,1.0,0.3053847849369049,0.19331848621368408,False
p01_r22_a_to_b,1,airplane__cat,22,a_to_b,airplane_shape__cat_texture,1977,0,airplane,365,3,cat,0,airplane,3,cat,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r22_a_to_b.png,35d8510a11163597b671cc14fde912f05f8d8b8f2698ccbdbd7e15a7036f8bc4,224,224,0.0,0.9252564907073975,0.33310380578041077,0.16548477113246918,False
p01_r23_a_to_b,1,airplane__cat,23,a_to_b,airplane_shape__cat_texture,6986,0,airplane,4531,3,cat,0,airplane,3,cat,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r23_a_to_b.png,d75b223219b6933a723705f9682e7f0e02b16d8c6e07d9397f15dfbeae6e6377,224,224,0.03881166875362396,0.9035826921463013,0.42489874362945557,0.14653173089027405,False
p01_r24_a_to_b,1,airplane__cat,24,a_to_b,airplane_shape__cat_texture,7634,0,airplane,632,3,cat,0,airplane,3,cat,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r24_a_to_b.png,ece3bf0b71752725de3494a8ca00d6dce6a50c0b3fa7d35a1622818ccfe2cf4e,224,224,0.0,1.0,0.30872809886932373,0.20644521713256836,False
p01_r25_a_to_b,1,airplane__cat,25,a_to_b,airplane_shape__cat_texture,6844,0,airplane,4023,3,cat,0,airplane,3,cat,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r25_a_to_b.png,ed243b8ac4a876878ea60eae31fca6a7be29b017ef4fc1a02be7d5a784dd0329,224,224,0.0,1.0,0.5515038371086121,0.17228847742080688,False
p01_r26_a_to_b,1,airplane__cat,26,a_to_b,airplane_shape__cat_texture,81,0,airplane,176,3,cat,0,airplane,3,cat,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r26_a_to_b.png,bf92c3d575883bdd3be1f0169e74b0ecec7bb814dfed58375af869682d01099a,224,224,0.0,0.8386889100074768,0.35325029492378235,0.15398646891117096,False
p01_r27_a_to_b,1,airplane__cat,27,a_to_b,airplane_shape__cat_texture,3965,0,airplane,3851,3,cat,0,airplane,3,cat,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p01_r27_a_to_b.png,52b7029af47cc87e0137fb94057b533e6076e02b74ff32fc06be9fbed899dac1,224,224,0.0,0.8988586664199829,0.5001722574234009,0.16617673635482788,False
p05_r21_a_to_b,5,bird__monkey,21,a_to_b,bird_shape__monkey_texture,3491,1,bird,2746,7,monkey,1,bird,7,monkey,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p05_r21_a_to_b.png,a51825be0ce26d8b03024758ba97d192ddff48348d0ee9fb2315498286bc6cd8,224,224,0.0,1.0,0.49544161558151245,0.19374558329582214,False
p05_r22_a_to_b,5,bird__monkey,22,a_to_b,bird_shape__monkey_texture,5092,1,bird,1220,7,monkey,1,bird,7,monkey,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p05_r22_a_to_b.png,d0668a6dd959a86a9becb56e14dc95096ad5c66f92aa2d1486417d8d2d56d118,224,224,0.0020968979224562645,1.0,0.5131417512893677,0.19031980633735657,False
p02_r21_a_to_b,2,car__deer,21,a_to_b,car_shape__deer_texture,483,2,car,7610,4,deer,2,car,4,deer,6304,0.8,False,/content/drive/MyDrive/ATML-Assignment-1/artifacts/task1/cue_conflict/candidates/p02_r21_a_to_b.png,1cb6b35f3fef741f8e10e9e9eb94d161d11b35ed55fc8555e9bef980105e3541,224,224,0.018136708065867424,1.0,0.40622037649154663,0.17509695887565613,False
