backbone,predictor,condition,transformed_identifier,clean_official_index,true_class_id,cosine_similarity,clean_predicted_class_id,transformed_predicted_class_id,prediction_consistent
resnet50,resnet50_linear_head,grayscale,3,3,0,0.8663442730903625,0,0,True
resnet50,resnet50_linear_head,grayscale,29,29,7,1.0,7,7,True
resnet50,resnet50_linear_head,grayscale,35,35,2,0.8046995401382446,2,2,True
resnet50,resnet50_linear_head,grayscale,42,42,0,0.9738383293151855,0,0,True
resnet50,resnet50_linear_head,grayscale,49,49,2,0.8343777656555176,2,2,True
resnet50,resnet50_linear_head,grayscale,81,81,0,0.9999998807907104,0,0,True
resnet50,resnet50_linear_head,grayscale,95,95,1,0.8821617960929871,1,1,True
resnet50,resnet50_linear_head,grayscale,97,97,5,0.7278681397438049,5,5,True
resnet50,resnet50_linear_head,grayscale,116,116,1,0.7037398219108582,1,1,True
resnet50,resnet50_linear_head,grayscale,131,131,9,0.8656819462776184,9,9,True
resnet50,resnet50_linear_head,grayscale,151,151,8,0.682158350944519,8,8,True
resnet50,resnet50_linear_head,grayscale,171,171,4,0.8226706385612488,4,4,True
resnet50,resnet50_linear_head,grayscale,176,176,3,0.8016184568405151,3,3,True
resnet50,resnet50_linear_head,grayscale,191,191,9,0.862644612789154,9,2,False
resnet50,resnet50_linear_head,grayscale,194,194,8,0.8585271835327148,8,8,True
resnet50,resnet50_linear_head,grayscale,198,198,1,0.6717017889022827,1,1,True
resnet50,resnet50_linear_head,grayscale,239,239,9,0.8568766117095947,9,9,True
resnet50,resnet50_linear_head,grayscale,261,261,1,0.7796264290809631,1,1,True
resnet50,resnet50_linear_head,grayscale,269,269,7,0.7386202812194824,7,7,True
resnet50,resnet50_linear_head,grayscale,276,276,9,0.8310980200767517,9,9,True
resnet50,resnet50_linear_head,grayscale,303,303,9,0.9058173298835754,9,9,True
resnet50,resnet50_linear_head,grayscale,304,304,1,0.6255800127983093,1,1,True
resnet50,resnet50_linear_head,grayscale,317,317,2,0.8424317240715027,2,2,True
resnet50,resnet50_linear_head,grayscale,319,319,5,0.8311231732368469,5,5,True
resnet50,resnet50_linear_head,grayscale,323,323,7,0.9528687000274658,7,7,True
resnet50,resnet50_linear_head,grayscale,365,365,3,0.7291501760482788,3,3,True
resnet50,resnet50_linear_head,grayscale,370,370,7,0.8014388680458069,7,7,True
resnet50,resnet50_linear_head,grayscale,372,372,3,0.7494274973869324,3,3,True
resnet50,resnet50_linear_head,grayscale,378,378,5,0.7667005658149719,5,5,True
resnet50,resnet50_linear_head,grayscale,391,391,3,0.8352270126342773,3,3,True
resnet50,resnet50_linear_head,grayscale,409,409,2,0.849412202835083,2,2,True
resnet50,resnet50_linear_head,grayscale,419,419,9,0.929437518119812,9,9,True
resnet50,resnet50_linear_head,grayscale,449,449,6,0.8333737850189209,6,6,True
resnet50,resnet50_linear_head,grayscale,470,470,2,0.8295383453369141,2,2,True
resnet50,resnet50_linear_head,grayscale,483,483,2,0.6861043572425842,2,2,True
resnet50,resnet50_linear_head,grayscale,484,484,0,0.7025977969169617,0,0,True
resnet50,resnet50_linear_head,grayscale,506,506,4,0.6949824094772339,4,4,True
resnet50,resnet50_linear_head,grayscale,545,545,6,0.8296272158622742,6,2,False
resnet50,resnet50_linear_head,grayscale,562,562,0,0.8677695989608765,0,0,True
resnet50,resnet50_linear_head,grayscale,568,568,5,0.8806333541870117,5,5,True
resnet50,resnet50_linear_head,grayscale,603,603,9,0.9087725281715393,9,9,True
resnet50,resnet50_linear_head,grayscale,632,632,3,0.8603205680847168,3,3,True
