official_index,true_class_id,grid_rows,grid_columns,patch_size_pixels,permutation_0_based_json,shuffled_rgb_sha256
3,0,4,4,56,"[2,14,13,0,9,3,15,7,4,6,12,5,8,11,10,1]",c062e80756d2aa952ed807d3dea58d21c04fa5649e1d78398654d6e74e5554ba
29,7,4,4,56,"[1,7,11,6,10,8,9,5,14,12,4,13,15,2,0,3]",faaff8b076253f245a8195aa3edf0c9ffe2aa86000d41d4e078ef8f7479e2f10
35,2,4,4,56,"[7,14,2,6,13,15,10,3,5,11,0,12,8,4,1,9]",07cc807421502815459806d5653da0e7b82494825056031f0ba9203e4003c64a
42,0,4,4,56,"[4,10,7,2,3,0,6,11,14,13,9,12,8,15,1,5]",2c4302fe5b36a5eeafcf24fe3a8a4d306120909c70780fb078e26387f394a224
49,2,4,4,56,"[1,8,5,3,6,14,0,2,15,11,12,10,7,4,9,13]",917bbf638c341465500e34305cf9250d4c94982444349ff3138dcb7100d98910
81,0,4,4,56,"[14,15,1,2,10,9,6,13,4,11,0,7,12,5,8,3]",00867e4049262ab0c29fd8683b53c5b44bd74be09a9598c70e3b98bb68e93fa5
95,1,4,4,56,"[4,6,11,2,12,0,9,15,1,13,3,8,7,14,5,10]",7a446a4db6cf32eff1177886a697a59c72bf942aef5392a76d2acb5c92dc7330
97,5,4,4,56,"[9,13,11,4,1,2,14,7,10,15,0,3,6,8,12,5]",34ec6f4779c7a3548b58077c6a9c2db018c3aac9951eb4a1032bab808f5673b8
116,1,4,4,56,"[5,13,7,0,12,9,6,3,11,4,14,8,2,15,10,1]",0e4edb387045e5fb130673dc723cfbcdb5443afec3a6f89349ed58f9c84785ee
131,9,4,4,56,"[9,3,15,1,5,10,4,7,0,6,14,2,8,11,13,12]",1ad41373647ba5d456cda589599c4edbc703b28cc86234ea8778a1438d1a74cf
151,8,4,4,56,"[15,6,12,1,0,7,11,14,4,10,8,3,2,5,9,13]",7daec76559939e78340592e75bd4147e183eb9ecc3a4122f10ce1e382f537b99
171,4,4,4,56,"[14,6,0,11,2,5,4,15,8,1,10,12,3,7,13,9]",18583ee34e906bf47ab322f8d5e2d1956306aa6a154d81e2f24de454187da99d
176,3,4,4,56,"[6,2,13,15,0,11,3,14,9,8,12,7,5,4,10,1]",ee25f448864d4e3a22ec4e5ce6929b35afb929d73d419b43218c5423d4b47236
191,9,4,4,56,"[10,1,9,4,11,7,15,3,8,12,13,5,6,2,0,14]",31ed9d049cda43d0f6b54e2a2fb1cba1fe0d0951f9d0de98b3c4160c845a8d74
194,8,4,4,56,"[3,12,13,15,5,0,1,14,6,2,9,10,7,8,11,4]",7ccdc3b32775086b6fdab505229f313be636b9e796d8af05364a866e2bb648b7
198,1,4,4,56,"[9,3,8,4,13,0,6,7,11,2,14,15,10,12,5,1]",8c249ac5e226dfd79640053b968f6f3bb2aa0cc9d1c301ab9ac5425317ddbf9f
239,9,4,4,56,"[12,2,9,15,10,14,5,7,0,1,6,11,4,13,3,8]",8d0babd40ce7399c4ee31332c97cdd2409dca047eb4d3c586e35e1c2cfce81ab
261,1,4,4,56,"[9,4,1,3,10,6,11,0,13,14,8,5,7,12,15,2]",690f750e17eac75864179ae345d88f261b48d06a86daac646831caf2a284621e
269,7,4,4,56,"[3,13,12,0,2,14,8,15,9,11,10,4,6,5,1,7]",5ff9a4d23ba7be37419bc33a3c3bcbc02b47fb90f73afd03ba6e72797901b27c
276,9,4,4,56,"[9,2,7,14,4,3,5,1,10,11,8,13,6,0,15,12]",032634f69430c8a61f32336a4fa861e20161d960134fa2f3f34ebfe4be13a5a0
303,9,4,4,56,"[2,7,9,10,4,1,12,6,8,13,0,5,15,14,11,3]",db38f45f54ae2a3988ef01417c9cef29233b73bfc8d70b2ea1accba9ba8bb185
304,1,4,4,56,"[13,5,8,2,9,11,6,0,7,14,4,10,1,12,15,3]",8df5453ff297ad0385a476c8a2196a1dcb9880a8b93c4c180c68f00ae29c7a68
317,2,4,4,56,"[0,5,2,10,8,4,7,1,11,9,12,6,14,3,15,13]",3202d484ebe11a7429f9eaa81ea6d19e44bd98ae37a17b589628ad52d5aa1a81
319,5,4,4,56,"[3,4,11,14,8,2,12,9,10,5,7,1,15,13,0,6]",cd22c3b8d65e431d63f4950ffc25a164bd3de53161687e4d55a4dac068ea8787
323,7,4,4,56,"[2,15,4,5,0,6,9,10,13,11,3,7,8,1,12,14]",c66e045da07b5fadce5479c3ec8221d18a65a79418aea18efd710fa8603ee839
365,3,4,4,56,"[15,1,7,6,2,5,3,8,11,0,14,4,9,10,13,12]",f7d0284afdde7233ebbf0d3de466dc253dcd0346cac0330f4b3f8fc28243f597
370,7,4,4,56,"[11,10,1,15,5,3,2,6,4,9,13,12,14,8,0,7]",2f675678b450c16c24b74ee2ca78de164bb10de60946805cca5a2362834154d0
372,3,4,4,56,"[3,15,7,14,6,11,8,4,13,10,2,1,5,0,9,12]",b1b7f1f5d0f18c9e4980bf97d552fbb57b5d7063c1fbbced8fd5506267f4a67d
378,5,4,4,56,"[5,3,1,8,14,12,4,9,10,15,2,6,0,11,7,13]",460db46d6743019630a3b2ff15d3935ef6e07f30e07132e37c43470c9ad5a3e3
391,3,4,4,56,"[0,6,8,3,1,4,2,12,5,7,13,14,9,10,15,11]",79a21301ec7268c3c755613bc12848c095e7b2957f6aa1aafd6bf532e6146991
409,2,4,4,56,"[15,3,12,5,14,11,6,9,4,13,10,7,8,2,0,1]",306c994687a5d697f1c19ad72df0051b48c7a767da405ef6b80a2e159d65b87b
419,9,4,4,56,"[0,11,14,12,5,8,10,4,3,1,6,2,15,9,13,7]",d74787a1ddc65384b93d0cff74bef7ff26dcef3be90241a1d6f0fdd983d1b507
449,6,4,4,56,"[3,2,13,1,9,8,14,0,11,6,15,12,10,7,5,4]",370ca0b7bc50a54c1c8bbcda35a0c5c07b973119a591bcaef46b14536040774b
470,2,4,4,56,"[3,13,7,2,8,9,4,14,12,11,6,0,5,1,10,15]",2ea027b55ef1bb722850e4a78e9324f2053ad61b37773593c9c70db3dfc6688e
483,2,4,4,56,"[5,8,13,3,11,0,6,9,10,15,4,2,7,14,1,12]",f8e7fc356bb8b5eccf2c77eab697c7dea034b07a3e30e1e63f48f79acc9c604b
484,0,4,4,56,"[14,3,6,12,10,15,1,7,9,13,2,5,11,0,8,4]",d520c5e69727cea92f638c46ca38fb24c8f9e71fbfe1156a27fd3aca230ec413
506,4,4,4,56,"[8,5,9,12,7,13,15,14,1,3,6,4,0,2,11,10]",dd2402b40d146adcdbef06ec4c879c8e7544273f2970d420c301f57ead838388
545,6,4,4,56,"[8,4,1,2,9,6,10,11,14,3,0,12,5,15,7,13]",1149e2fbf5c65d50474a05236a9b5586b3f514983f061f372fc0384110c375c4
562,0,4,4,56,"[15,3,2,8,0,4,14,12,9,5,1,13,10,6,11,7]",4759bf4c7f8b5cd2040db1925b6b89da4c6596ae3c22a7efaa83c3da8f1cc298
568,5,4,4,56,"[8,14,3,4,15,7,9,1,13,11,0,10,12,6,2,5]",f12b110291da5ccfb3daac9308f8d6672df951d8e7155156cce8f00869a4747f
