epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,improved,epochs_without_improvement
1,2.2586570854187014,0.51025,2.209654758453369,0.856,True,0
2,2.168686845779419,0.936,2.1221492080688478,0.967,True,0
3,2.0818088703155517,0.9725,2.037139019012451,0.975,True,0
4,1.997408899307251,0.9765,1.9545921220779419,0.978,True,0
5,1.9153131465911866,0.97775,1.874421510696411,0.98,True,0
6,1.8357725591659546,0.9785,1.7967500267028809,0.982,True,0
7,1.7586294574737549,0.979,1.7214354047775269,0.981,False,1
8,1.6840030536651611,0.97925,1.6487833032608032,0.981,False,2
9,1.6121993007659912,0.97875,1.5786530227661133,0.983,True,0
10,1.5428625946044923,0.97925,1.5112089147567749,0.984,True,0
11,1.4761968097686768,0.9805,1.446417573928833,0.983,False,1
12,1.4122534675598144,0.981,1.3841708488464355,0.983,False,2
13,1.3507628622055055,0.981,1.3244380559921265,0.983,False,3
14,1.291964262008667,0.9805,1.267356375694275,0.983,False,4
15,1.2357710914611817,0.981,1.2127827873229982,0.983,False,5
