epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,improved,epochs_without_improvement
1,1.8143665676116942,0.65825,1.3232044668197631,0.926,True,0
2,1.0178786640167237,0.9575,0.7819533257484436,0.955,True,0
3,0.6109549260139465,0.97225,0.5159809432029724,0.958,True,0
4,0.41113025140762327,0.97775,0.3800822193622589,0.961,True,0
5,0.3039826962947845,0.9805,0.3036431198120117,0.962,True,0
6,0.2402172839641571,0.983,0.2549423198699951,0.966,True,0
7,0.19802221405506135,0.985,0.2216004900932312,0.967,True,0
8,0.16799613440036773,0.9865,0.19791784596443177,0.971,True,0
9,0.14516015422344208,0.98825,0.1797294318675995,0.97,False,1
10,0.12777770936489105,0.9885,0.16593178403377534,0.971,False,2
11,0.11353246635198593,0.989,0.15431452620029448,0.971,False,3
12,0.10205227750539779,0.991,0.14530253326892853,0.971,False,4
13,0.09240381705760956,0.99125,0.13804733777046205,0.971,False,5
