epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,improved,epochs_without_improvement
1,1.4331030645370484,0.70525,0.7016211714744568,0.939,True,0
2,0.4575461139678955,0.9605,0.31511630725860595,0.966,True,0
3,0.23383466851711274,0.97225,0.20905184185504913,0.972,True,0
4,0.16171257317066193,0.97825,0.16683242499828338,0.974,True,0
5,0.1277334225177765,0.9815,0.14364900863170624,0.974,False,1
6,0.10582231438159942,0.98475,0.12882511150836945,0.977,True,0
7,0.09057813489437103,0.98675,0.11838124799728393,0.977,False,1
8,0.07906769502162933,0.98825,0.1105842507481575,0.975,False,2
9,0.06961235946416855,0.99,0.10483745265007019,0.975,False,3
10,0.062144759833812714,0.9925,0.10004383248090744,0.975,False,4
11,0.055620314747095105,0.9935,0.09560682982206345,0.975,False,5
