epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,gradient_norm,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.46841124104375537,0.2644234687724012,1178.6388823813581,0.0,0.0,0.0,0.0,10.908268894131838,0.9491017964071856,0.9415081371419713,0.8439024390243902,0.8470552259742178,0.8742004264392325,0.8858302068150535,0.8890682206236028,0.8914645233104141
2,0.21608970259970173,0.18640093600496332,1312.5970939473902,0.0,0.0,0.0,0.0,8.338013106364812,0.9550898203592815,0.9485831977169303,0.9048780487804878,0.9045922300655442,0.9402985074626866,0.9473690451422273,0.9334221255341518,0.933514824308234
3,0.1362360462278841,0.16416127326640678,1368.1969025307512,0.0,0.0,0.0,0.0,6.945847751449815,0.9520958083832335,0.9458383718135677,0.8829268292682927,0.8811116245917177,0.9232409381663113,0.9292681444480443,0.9194211919392791,0.9187393802844431
4,0.10256816383471039,0.15740014745834027,1377.856952553607,0.0,0.0,0.0,0.0,6.377288045671214,0.9640718562874252,0.9573403134595271,0.9,0.9001588489074586,0.9530916844349681,0.9585308084842526,0.9390545135741312,0.9386766569504128
5,0.07337982148833652,0.15641581251266154,1424.6998332571477,0.0,0.0,0.0,0.0,4.944559888268952,0.9760479041916168,0.970542127327489,0.9170731707317074,0.9196097453367988,0.9509594882729211,0.9547592532924866,0.9480268543987483,0.9483037086522582
6,0.08508296951631758,0.14526760628882876,1328.4541446766955,0.0,0.0,0.0,0.0,5.476701934860802,0.9550898203592815,0.9533381919567608,0.8536585365853658,0.856534297146961,0.9360341151385928,0.9426093873970095,0.9149274906944133,0.9174939588335772
7,0.046219857927211165,0.14496129624387052,1384.767697598072,0.0,0.0,0.0,0.0,3.7212422862320147,0.9730538922155688,0.9671505978562778,0.8902439024390244,0.8921863232693206,0.9424307036247335,0.9496391385097321,0.9352428327597755,0.9363253532117768
8,0.053650663923868476,0.14194100664017048,1262.68949078499,0.0,0.0,0.0,0.0,4.088368103852335,0.9640718562874252,0.9573660765226325,0.8707317073170732,0.8834396480261141,0.9552238805970149,0.9586230171852781,0.930009148067171,0.9331429139113415
9,0.034466928132175605,0.13189831185848155,1241.7396531125332,0.0,0.0,0.0,0.0,3.1913057767716997,0.9640718562874252,0.9584954207561959,0.9048780487804878,0.9048619286090602,0.9594882729211087,0.9605997443018809,0.9428127259963407,0.9413190312223789
10,0.03461425983151322,0.13511816795836104,1193.0321608523104,0.0,0.0,0.0,0.0,3.128119666595965,0.9700598802395209,0.9643732301326631,0.8804878048780488,0.884903859345248,0.9232409381663113,0.9255707926800503,0.9245962077612937,0.9249492940526537
