epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,gradient_norm,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.4708979576984619,0.0,0.0,0.0,0.0,0.0,0.0,11.497497446303255,0.9311377245508982,0.9232007848427657,0.8585365853658536,0.8366687356524346,0.8805970149253731,0.888511246392893,0.8900904416140416,0.8827935889626978
2,0.21104890693454667,0.0,0.0,0.0,0.0,0.0,0.0,8.873171310158881,0.9580838323353293,0.9531822611913555,0.8609756097560975,0.8570046646235606,0.9275053304904051,0.9321699654718104,0.9155215908606106,0.9141189637622422
3,0.1461610236130853,0.0,0.0,0.0,0.0,0.0,0.0,7.485716269194394,0.9431137724550899,0.9372302658127813,0.8585365853658536,0.8582295531087795,0.8869936034115139,0.8904445370640696,0.8962146537441525,0.8953014519952102
4,0.13190580769863097,0.0,0.0,0.0,0.0,0.0,0.0,6.891952422158379,0.9640718562874252,0.9586771667170634,0.8975609756097561,0.899518591600544,0.9466950959488273,0.95388479547826,0.9361093092820029,0.9373601845986225
5,0.08301312941562464,0.0,0.0,0.0,0.0,0.0,0.0,5.8307855193203,0.9730538922155688,0.9689076846014996,0.8975609756097561,0.8955271910924653,0.9211087420042644,0.9290210357562841,0.9305745366098631,0.9311519704834162
6,0.09432538995244343,0.0,0.0,0.0,0.0,0.0,0.0,6.069651838524691,0.9550898203592815,0.9477163645712914,0.9073170731707317,0.9054921594329437,0.9530916844349681,0.9589613965030377,0.938499525988327,0.9373899735024244
7,0.05247332003999234,0.0,0.0,0.0,0.0,0.0,0.0,4.54549219791037,0.9730538922155688,0.9686915248735943,0.9048780487804878,0.8985171494430725,0.9275053304904051,0.9300699428911027,0.9351457571621539,0.932426205735923
8,0.0674477441907042,0.0,0.0,0.0,0.0,0.0,0.0,5.112376861370941,0.9401197604790419,0.9288787132594011,0.8341463414634146,0.8244300738704686,0.9253731343283582,0.9253824451530396,0.8998797454236049,0.8928970774276365
9,0.07820942157299253,0.0,0.0,0.0,0.0,0.0,0.0,5.353595144290174,0.9520958083832335,0.9472636195671751,0.9024390243902439,0.907014124688217,0.9253731343283582,0.9302475797984052,0.9266359890339452,0.9281751080179325
10,0.04205266265775634,0.0,0.0,0.0,0.0,0.0,0.0,4.114999333595746,0.9191616766467066,0.9052226248745375,0.8682926829268293,0.8619926122570897,0.9530916844349681,0.9590621433758689,0.9135153480028345,0.908759126835832
11,0.055258154427227715,0.0,0.0,0.0,0.0,0.0,0.0,4.058969994936539,0.9640718562874252,0.9572734809880226,0.8926829268292683,0.8885899274053342,0.9488272921108742,0.951253065254169,0.9351940250758558,0.9323721578825085
