run_id,true_class,dominant_wrong_prediction,dominant_confusion_count,total_class_errors,fraction_of_class_errors
source_only,dog,horse,138,197,0.700507614213198
source_only,elephant,dog,380,455,0.8351648351648352
source_only,giraffe,horse,263,512,0.513671875
source_only,guitar,dog,54,69,0.782608695652174
source_only,horse,dog,149,161,0.9254658385093167
source_only,house,elephant,6,8,0.75
source_only,person,dog,56,91,0.6153846153846154
dan_0p1,dog,person,342,473,0.7230443974630021
dan_0p1,elephant,person,271,335,0.808955223880597
dan_0p1,giraffe,person,238,403,0.5905707196029777
dan_0p1,guitar,person,62,68,0.9117647058823529
dan_0p1,horse,person,145,234,0.6196581196581197
dan_0p1,house,person,1,1,1.0
dan_0p1,person,,0,0,0.0
dan_1,dog,elephant,133,319,0.4169278996865204
dan_1,elephant,house,34,61,0.5573770491803278
dan_1,giraffe,dog,55,196,0.28061224489795916
dan_1,guitar,person,28,39,0.717948717948718
dan_1,horse,house,110,314,0.3503184713375796
dan_1,house,,0,0,0.0
dan_1,person,house,21,21,1.0
dan_10,dog,person,772,772,1.0
dan_10,elephant,person,740,740,1.0
dan_10,giraffe,person,753,753,1.0
dan_10,guitar,person,608,608,1.0
dan_10,horse,person,816,816,1.0
dan_10,house,person,80,80,1.0
dan_10,person,,0,0,0.0
dann,dog,horse,123,294,0.41836734693877553
dann,elephant,dog,121,173,0.6994219653179191
dann,giraffe,dog,238,481,0.49480249480249483
dann,guitar,dog,21,51,0.4117647058823529
dann,horse,dog,138,194,0.711340206185567
dann,house,person,4,11,0.36363636363636365
dann,person,dog,9,11,0.8181818181818182
cdan,dog,giraffe,205,430,0.47674418604651164
cdan,elephant,dog,33,72,0.4583333333333333
cdan,giraffe,horse,22,52,0.4230769230769231
cdan,guitar,giraffe,100,117,0.8547008547008547
cdan,horse,giraffe,271,344,0.7877906976744186
cdan,house,elephant,1,1,1.0
cdan,person,giraffe,53,83,0.6385542168674698
