run_id,method,class,support,target_class_accuracy,source_only_target_class_accuracy,accuracy_change_vs_source_only
source_only,Source-only,dog,772,0.7448186528497409,0.7448186528497409,0.0
source_only,Source-only,elephant,740,0.38513513513513514,0.38513513513513514,0.0
source_only,Source-only,giraffe,753,0.3200531208499336,0.3200531208499336,0.0
source_only,Source-only,guitar,608,0.8865131578947368,0.8865131578947368,0.0
source_only,Source-only,horse,816,0.8026960784313726,0.8026960784313726,0.0
source_only,Source-only,house,80,0.9,0.9,0.0
source_only,Source-only,person,160,0.43125,0.43125,0.0
dan_0p1,DAN lambda=0.1,dog,772,0.3873056994818653,0.7448186528497409,-0.35751295336787564
dan_0p1,DAN lambda=0.1,elephant,740,0.5472972972972973,0.38513513513513514,0.16216216216216212
dan_0p1,DAN lambda=0.1,giraffe,753,0.4648074369189907,0.3200531208499336,0.1447543160690571
dan_0p1,DAN lambda=0.1,guitar,608,0.8881578947368421,0.8865131578947368,0.00164473684210531
dan_0p1,DAN lambda=0.1,horse,816,0.7132352941176471,0.8026960784313726,-0.0894607843137255
dan_0p1,DAN lambda=0.1,house,80,0.9875,0.9,0.08750000000000002
dan_0p1,DAN lambda=0.1,person,160,1.0,0.43125,0.56875
dan_1,DAN lambda=1,dog,772,0.5867875647668394,0.7448186528497409,-0.15803108808290156
dan_1,DAN lambda=1,elephant,740,0.9175675675675675,0.38513513513513514,0.5324324324324323
dan_1,DAN lambda=1,giraffe,753,0.7397078353253652,0.3200531208499336,0.4196547144754316
dan_1,DAN lambda=1,guitar,608,0.9358552631578947,0.8865131578947368,0.049342105263157854
dan_1,DAN lambda=1,horse,816,0.6151960784313726,0.8026960784313726,-0.1875
dan_1,DAN lambda=1,house,80,1.0,0.9,0.09999999999999998
dan_1,DAN lambda=1,person,160,0.86875,0.43125,0.4375
dan_10,DAN lambda=10,dog,772,0.0,0.7448186528497409,-0.7448186528497409
dan_10,DAN lambda=10,elephant,740,0.0,0.38513513513513514,-0.38513513513513514
dan_10,DAN lambda=10,giraffe,753,0.0,0.3200531208499336,-0.3200531208499336
dan_10,DAN lambda=10,guitar,608,0.0,0.8865131578947368,-0.8865131578947368
dan_10,DAN lambda=10,horse,816,0.0,0.8026960784313726,-0.8026960784313726
dan_10,DAN lambda=10,house,80,0.0,0.9,-0.9
dan_10,DAN lambda=10,person,160,1.0,0.43125,0.56875
dann,DANN,dog,772,0.6191709844559585,0.7448186528497409,-0.12564766839378239
dann,DANN,elephant,740,0.7662162162162162,0.38513513513513514,0.381081081081081
dann,DANN,giraffe,753,0.3612217795484728,0.3200531208499336,0.041168658698539196
dann,DANN,guitar,608,0.9161184210526315,0.8865131578947368,0.02960526315789469
dann,DANN,horse,816,0.7622549019607843,0.8026960784313726,-0.040441176470588314
dann,DANN,house,80,0.8625,0.9,-0.03749999999999998
dann,DANN,person,160,0.93125,0.43125,0.5
cdan,CDAN,dog,772,0.4430051813471503,0.7448186528497409,-0.30181347150259064
cdan,CDAN,elephant,740,0.9027027027027027,0.38513513513513514,0.5175675675675675
cdan,CDAN,giraffe,753,0.9309428950863213,0.3200531208499336,0.6108897742363877
cdan,CDAN,guitar,608,0.8075657894736842,0.8865131578947368,-0.07894736842105265
cdan,CDAN,horse,816,0.5784313725490197,0.8026960784313726,-0.22426470588235292
cdan,CDAN,house,80,0.9875,0.9,0.08750000000000002
cdan,CDAN,person,160,0.48125,0.43125,0.04999999999999999
