epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.4921898047974769,0.16058151874136417,0.1981203354736592,0.0,0.0,0.0,0.0,16.86051998007899,15.524336285761532,0.26382978723404255,0.9191616766467066,0.9047628704744995,0.8658536585365854,0.8609698437601223,0.8805970149253731,0.8896994616020281,0.8885374500362216,0.8851440586122167
2,0.23520503166983736,0.13328760735532072,0.03003005792406645,0.0,0.0,0.0,0.0,23.38812923842277,16.904428357888946,0.5574468085106383,0.9011976047904192,0.8966483606242079,0.7390243902439024,0.7739005501447093,0.8038379530916845,0.8230548589880721,0.8146866493753353,0.8312012565856631
3,0.16951570101775862,0.12375106507159293,0.007824003753906236,0.0,0.0,0.0,0.0,34.492003612428284,17.5404520415456,0.7106382978723405,0.9341317365269461,0.9277605808744293,0.8731707317073171,0.8673680109814893,0.9019189765458422,0.9008064515206604,0.9030738149267018,0.8986450144588597
4,0.14880080556031317,0.12409747915065035,0.00232548299889536,0.0,0.0,0.0,0.0,61.98579104332438,18.240544396536553,0.8,0.9011976047904192,0.886607892906847,0.7048780487804878,0.731374281334926,0.8187633262260128,0.8348032322464399,0.8082796599323064,0.817595135496071
5,0.14710573501775953,0.1263808453336675,0.0014532655378446935,0.0,0.0,0.0,0.0,75.37591751766467,18.32159842880439,0.8340425531914893,0.9191616766467066,0.9027106414872313,0.8731707317073171,0.8603075395129054,0.8742004264392325,0.889841422107331,0.8888442782644187,0.8842865343691559
6,0.18009445571360436,0.12167212405103318,0.0007540156311811284,0.0,0.0,0.0,0.0,127.18301692196017,18.486240521791455,0.8468085106382979,0.9580838323353293,0.9489674796637052,0.8390243902439024,0.8366659875053554,0.9275053304904051,0.9326052022610628,0.908204517689879,0.9060795564767078
7,0.1592982422847157,0.12841277122497557,0.0006678025282800514,0.0,0.0,0.0,0.0,130.4750432725455,18.751568081206713,0.8638297872340426,0.7634730538922155,0.7368270901824936,0.7121951219512195,0.7299520689596483,0.7889125799573561,0.7810202068700753,0.7548602519335971,0.7492664553374059
8,0.15340393279887182,0.12563717010173392,0.00034217766029116245,0.0,0.0,0.0,0.0,162.2379453764215,18.74716543334021,0.8765957446808511,0.8353293413173652,0.769190514073524,0.7536585365853659,0.6889328816588368,0.7846481876332623,0.7459890415659499,0.7912120218453311,0.7347041457661035
9,0.18208767220803954,0.12687263793133674,0.0002280411963162825,0.0,0.0,0.0,0.0,242.616044155753,19.073426892535515,0.8978723404255319,0.8502994011976048,0.8144560233459545,0.7804878048780488,0.7419869177585623,0.837953091684435,0.8008633705845752,0.8229134325866961,0.7857687705630306
10,0.1590557606932286,0.12523900295825716,0.00019873660565552083,0.0,0.0,0.0,0.0,223.2150461885654,18.996424828127733,0.8978723404255319,0.9670658682634731,0.9604634885520617,0.9024390243902439,0.9017287297739242,0.9402985074626866,0.9433013371584363,0.9366011333721346,0.9351645184948074
11,0.20264678257430824,0.12334621510607131,0.0002196760968604878,0.0,0.0,0.0,0.0,273.61730734679327,19.09932575931489,0.9148936170212766,0.9251497005988024,0.9062558654020066,0.8390243902439024,0.8250701122224496,0.8955223880597015,0.8797744527468726,0.8865654929674688,0.8703668101237763
12,0.16395489876451122,0.12267204446995512,0.00012473960025013086,0.0,0.0,0.0,0.0,305.842507649533,19.007518154050302,0.8978723404255319,0.9221556886227545,0.9257352076182868,0.848780487804878,0.8538751315008861,0.8805970149253731,0.8935832929746114,0.8838443971176685,0.8910645440312615
13,0.2152669113136963,0.12464115771841495,0.00014820065893643991,0.0,0.0,0.0,0.0,346.10561490259187,18.925762536964083,0.9106382978723404,0.9610778443113772,0.9548841473698358,0.8902439024390244,0.8888937405161588,0.9488272921108742,0.9516399614224724,0.9333830129537586,0.931805949769489
14,0.19616472534500953,0.12282343722404318,0.00014248583509160722,0.0,0.0,0.0,0.0,302.58549442070165,19.161798256640584,0.9148936170212766,0.9341317365269461,0.9187580963402964,0.8926829268292683,0.887562783557927,0.9211087420042644,0.9206233481010502,0.9159744684534931,0.9089814093330911
15,0.21076878490105416,0.1308041805916644,0.0001228948182270347,0.0,0.0,0.0,0.0,353.1977618528518,19.101308371980803,0.9148936170212766,0.9011976047904192,0.8826881244955104,0.824390243902439,0.8047850290689121,0.8187633262260128,0.8243372911208179,0.8481170583062904,0.8372701482284134
