epoch,classification_loss,alignment_loss,domain_loss,domain_accuracy,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.49036362551628276,0.0,0.0,0.0,0.9550898203592815,0.9466487972472845,0.8780487804878049,0.8747992699802244,0.908315565031983,0.9097378533755751,0.9138180552930231,0.9103953068676947
2,0.1956971804987877,0.0,0.0,0.0,0.937125748502994,0.9272754052613937,0.8439024390243902,0.8490833947173627,0.9189765458422174,0.9269391510882088,0.9000015777898672,0.9010993170223217
3,0.15624369554385106,0.0,0.0,0.0,0.9790419161676647,0.9748935272079576,0.8926829268292683,0.8792195354847614,0.9147121535181236,0.917814377533797,0.9288123321716856,0.9239758134088386
4,0.1087833050078653,0.0,0.0,0.0,0.9730538922155688,0.9685024295682781,0.9097560975609756,0.9082036886493015,0.9445628997867804,0.946647518302645,0.9424576298544416,0.941117878840075
5,0.0871795084272967,0.0,0.0,0.0,0.9520958083832335,0.941989084510703,0.8707317073170732,0.8745000935371557,0.9125799573560768,0.9200491602862548,0.9118024910187944,0.9121794461113711
6,0.07413298776645728,0.0,0.0,0.0,0.9101796407185628,0.8915561709936509,0.8146341463414634,0.8102681055229802,0.8912579957356077,0.9011323895529139,0.8720239275985446,0.8676522220231817
7,0.07023161454435854,0.0,0.0,0.0,0.9550898203592815,0.9489766628974277,0.9243902439024391,0.9213207620062532,0.9509594882729211,0.9571671755963816,0.9434798508448804,0.9424882001666876
8,0.07279369038916093,0.0,0.0,0.0,0.9610778443113772,0.9531667768091248,0.8658536585365854,0.8602640305809255,0.9445628997867804,0.9515286999815381,0.9238314675449143,0.9216531691238629
9,0.044638011293577716,0.0,0.0,0.0,0.9640718562874252,0.9570439549347157,0.8926829268292683,0.8896050280992204,0.9509594882729211,0.9567900133979496,0.9359047571298715,0.9344796654772952
10,0.061278823263908516,0.0,0.0,0.0,0.9670658682634731,0.9612269860238589,0.9,0.8991858221947845,0.9488272921108742,0.9547164704771786,0.9386310534581158,0.9383764262319406
11,0.053247074074441,0.0,0.0,0.0,0.9700598802395209,0.9645256496083624,0.8878048780487805,0.8864152284892884,0.9275053304904051,0.9365837246076795,0.9284566962595688,0.9291748675684435
12,0.05627239612172645,0.0,0.0,0.0,0.9640718562874252,0.9562662675951515,0.8414634146341463,0.8393576976043345,0.9253731343283582,0.9303397913597113,0.9103028017499767,0.9086545855197325
