model,change_type,selected_class,rank_by_path,id,path,true_class,erm_prediction,model_prediction,erm_confidence,model_confidence,task2_source_only_prediction,task2_source_only_correct,task2_dan_1_prediction,task2_dan_1_correct
dan_dg_1,improvement,elephant,1,9902384ff3e72989,sketch/elephant/5921.png,elephant,horse,elephant,0.609792947769165,0.676346480846405,horse,0,elephant,1
dan_dg_1,improvement,elephant,2,cee719a9f06aaadf,sketch/elephant/5927.png,elephant,horse,elephant,0.831881582736969,0.696501612663269,horse,0,elephant,1
dan_dg_1,improvement,elephant,3,613f779dd3186d87,sketch/elephant/5930.png,elephant,horse,elephant,0.6889686584472656,0.8280589580535889,horse,0,elephant,1
dan_dg_1,degradation,dog,1,1ae995f287fcaec9,sketch/dog/5284.png,dog,dog,elephant,0.5546577572822571,0.6340885162353516,dog,1,person,0
dan_dg_1,degradation,dog,2,5ee6195679bc2c47,sketch/dog/5285.png,dog,dog,elephant,0.5533919334411621,0.3389138877391815,dog,1,person,0
dan_dg_1,degradation,dog,3,adec56ba2f80a424,sketch/dog/5287.png,dog,dog,elephant,0.6549622416496277,0.33613714575767517,dog,1,house,0
sam,improvement,elephant,1,9902384ff3e72989,sketch/elephant/5921.png,elephant,horse,elephant,0.609792947769165,0.8564161062240601,horse,0,elephant,1
sam,improvement,elephant,2,cee719a9f06aaadf,sketch/elephant/5927.png,elephant,horse,elephant,0.831881582736969,0.7314248085021973,horse,0,elephant,1
sam,improvement,elephant,3,613f779dd3186d87,sketch/elephant/5930.png,elephant,horse,elephant,0.6889686584472656,0.8865699768066406,horse,0,elephant,1
sam,degradation,dog,1,1ae995f287fcaec9,sketch/dog/5284.png,dog,dog,elephant,0.5546577572822571,0.822320818901062,dog,1,person,0
sam,degradation,dog,2,5ee6195679bc2c47,sketch/dog/5285.png,dog,dog,person,0.5533919334411621,0.8332029581069946,dog,1,person,0
sam,degradation,dog,3,adec56ba2f80a424,sketch/dog/5287.png,dog,dog,elephant,0.6549622416496277,0.41739898920059204,dog,1,house,0
dan_dg_0p1,improvement,elephant,1,9902384ff3e72989,sketch/elephant/5921.png,elephant,horse,elephant,0.609792947769165,0.627977728843689,horse,0,elephant,1
dan_dg_0p1,improvement,elephant,2,f6b3813bda883567,sketch/elephant/5934.png,elephant,horse,elephant,0.5330218076705933,0.7322362065315247,horse,0,elephant,1
dan_dg_0p1,improvement,elephant,3,b24cd3cf972d7cff,sketch/elephant/5941.png,elephant,horse,elephant,0.3880355954170227,0.6609600782394409,horse,0,person,0
dan_dg_0p1,degradation,dog,1,1ae995f287fcaec9,sketch/dog/5284.png,dog,dog,person,0.5546577572822571,0.4449954926967621,dog,1,person,0
dan_dg_0p1,degradation,dog,2,5ee6195679bc2c47,sketch/dog/5285.png,dog,dog,person,0.5533919334411621,0.9933926463127136,dog,1,person,0
dan_dg_0p1,degradation,dog,3,12b330e07f587d6e,sketch/dog/5288.png,dog,dog,elephant,0.9394246935844421,0.5233230590820312,dog,1,person,0
dan_dg_10,improvement,person,1,ee0635d5dae7243a,sketch/person/12082.png,person,elephant,person,0.6598857045173645,0.8314200043678284,elephant,0,person,1
dan_dg_10,improvement,person,2,a31537291a8c4ec8,sketch/person/12083.png,person,elephant,person,0.6890122294425964,0.8313436508178711,elephant,0,house,0
dan_dg_10,improvement,person,3,05aa917e53144198,sketch/person/12084.png,person,elephant,person,0.4985591173171997,0.8313680291175842,elephant,0,house,0
dan_dg_10,degradation,house,1,7348c9bb50ef9a8c,sketch/house/8801.png,house,house,person,0.578891932964325,0.8313676714897156,house,1,house,1
dan_dg_10,degradation,house,2,a423de9e31a3bf54,sketch/house/8802.png,house,house,person,0.7933576703071594,0.831458330154419,house,1,house,1
dan_dg_10,degradation,house,3,eba585392f0e4ad5,sketch/house/8803.png,house,house,person,0.3506487011909485,0.8313671946525574,house,1,house,1
dan_dg_floor_0p1,improvement,elephant,1,9902384ff3e72989,sketch/elephant/5921.png,elephant,horse,elephant,0.609792947769165,0.9598905444145203,horse,0,elephant,1
dan_dg_floor_0p1,improvement,elephant,2,cee719a9f06aaadf,sketch/elephant/5927.png,elephant,horse,elephant,0.831881582736969,0.8067455291748047,horse,0,elephant,1
dan_dg_floor_0p1,improvement,elephant,3,613f779dd3186d87,sketch/elephant/5930.png,elephant,horse,elephant,0.6889686584472656,0.9553074240684509,horse,0,elephant,1
dan_dg_floor_0p1,degradation,dog,1,1ae995f287fcaec9,sketch/dog/5284.png,dog,dog,elephant,0.5546577572822571,0.6567060351371765,dog,1,person,0
dan_dg_floor_0p1,degradation,dog,2,b71f5c9bf5797617,sketch/dog/5289.png,dog,dog,elephant,0.7553843855857849,0.5753990411758423,dog,1,person,0
dan_dg_floor_0p1,degradation,dog,3,8851b8c903cd3f23,sketch/dog/5296.png,dog,dog,elephant,0.5343529582023621,0.9884899258613586,dog,1,person,0
dan_dg_floor_1,improvement,elephant,1,9902384ff3e72989,sketch/elephant/5921.png,elephant,horse,elephant,0.609792947769165,0.9712037444114685,horse,0,elephant,1
dan_dg_floor_1,improvement,elephant,2,cee719a9f06aaadf,sketch/elephant/5927.png,elephant,horse,elephant,0.831881582736969,0.7582759857177734,horse,0,elephant,1
dan_dg_floor_1,improvement,elephant,3,613f779dd3186d87,sketch/elephant/5930.png,elephant,horse,elephant,0.6889686584472656,0.9455881118774414,horse,0,elephant,1
dan_dg_floor_1,degradation,dog,1,1ae995f287fcaec9,sketch/dog/5284.png,dog,dog,elephant,0.5546577572822571,0.9526883959770203,dog,1,person,0
