epoch,classification_loss,sam_perturbed_classification_loss,mmd_loss,mmd_photo__art_painting,mmd_photo__cartoon,mmd_art_painting__cartoon,mmd_median_photo__art_painting,mmd_median_photo__cartoon,mmd_median_art_painting__cartoon,mmd_off_diagonal_zeros_photo__art_painting,mmd_off_diagonal_zeros_photo__cartoon,mmd_off_diagonal_zeros_art_painting__cartoon,sam_first_gradient_norm,sam_perturbation_norm,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1
1,0.46647571689905004,0.0,0.39867120277374346,0.37781922462138723,0.4144278201651066,0.40376652758172216,0.6321490878754473,0.6550939847814276,0.5862095807461029,0.0,0.0,0.0,0.0,0.0,11.895829292371916,11.672486602100948,0.05106382978723404,0.9221556886227545,0.9093590528569699,0.8121951219512196,0.8095955513085823,0.8272921108742004,0.8508401072416377,0.8538809738160582,0.85659823713573,0.8121951219512196,0.8095955513085823
2,0.2226929572708112,0.0,0.3550873912395315,0.346024674557625,0.35836825573698006,0.36086921286075674,0.5973390621073702,0.619406793218978,0.5674738883972168,0.0,0.0,0.0,0.0,0.0,9.388580944402053,9.29851499951953,0.029787234042553193,0.9491017964071856,0.94454081012483,0.8853658536585366,0.8854670868011036,0.908315565031983,0.911448779807066,0.9142610716992351,0.9138188922443332,0.8853658536585366,0.8854670868011036
3,0.1370112159656004,0.0,0.31998339897774636,0.30894092904760484,0.3202544800778653,0.33075476200022597,0.47974016996140173,0.49526484887650674,0.4633964681879003,0.0,0.0,0.0,0.0,0.0,7.948456924918794,7.81173458290587,0.029787234042553193,0.9221556886227545,0.9099215899716225,0.8268292682926829,0.8117930490242907,0.906183368869936,0.9104098999059017,0.8850561085951245,0.8773748463006049,0.8268292682926829,0.8117930490242907
4,0.12287478040918669,0.0,0.32764850556850433,0.3160645900888646,0.33154673373445553,0.3353341650455556,0.39602400521014597,0.40793759886254655,0.38930843852935954,0.0,0.0,0.0,0.0,0.0,7.645239379165769,7.639107627023562,0.00425531914893617,0.9670658682634731,0.9615393498228493,0.9048780487804878,0.9059464839592184,0.9424307036247335,0.9463291372963508,0.9381248735562314,0.9379383236928062,0.9048780487804878,0.9059464839592184
5,0.08007533004844283,0.0,0.31952377805050386,0.31018033230558356,0.3244050350595028,0.3239859408520638,0.30932124180996673,0.3193766493112483,0.3090985101588229,0.0,0.0,0.0,0.0,0.0,6.376279900982352,6.297000910139761,0.01276595744680851,0.9700598802395209,0.9653057911899712,0.926829268292683,0.9230060448010302,0.9466950959488273,0.9503774930172837,0.9478614148270105,0.9462297763360951,0.926829268292683,0.9230060448010302
6,0.09398606531012388,0.0,0.31570417779557247,0.3070307234500317,0.3131942576550423,0.32688752539614413,0.22021055608353715,0.2266756444535357,0.22370397987517904,0.0,0.0,0.0,0.0,0.0,7.244292842826463,7.020333669730428,0.03829787234042553,0.9730538922155688,0.9670022022112615,0.9024390243902439,0.8998832039991497,0.9360341151385928,0.94408671383294,0.9371756772481352,0.9369907066811171,0.9024390243902439,0.8998832039991497
7,0.08664342454805514,0.0,0.32194708750603046,0.31416283059627453,0.3296814482262794,0.32199695871231404,0.17312639536375696,0.17666487373570178,0.17463146321316983,0.0,0.0,0.0,0.0,0.0,7.034193688216328,6.9257597977438445,0.01276595744680851,0.9610778443113772,0.9524445050937338,0.8951219512195122,0.8957729121212556,0.9466950959488273,0.951832032683804,0.9342982971599055,0.9333498166329312,0.8951219512195122,0.8957729121212556
8,0.07646431584605339,0.0,0.31486386669443006,0.29684389905726655,0.3241883105420052,0.3235593613157881,0.11430858787386976,0.1164208358906685,0.11667439557136373,0.0,0.0,0.0,0.0,0.0,7.248077609292104,6.990029108207453,0.0425531914893617,0.9491017964071856,0.9386419679422954,0.8780487804878049,0.8743454999365168,0.8997867803837953,0.8999251888081397,0.9089791190929285,0.9043042188956507,0.8780487804878049,0.8743454999365168
9,0.049451400591289635,0.0,0.3164988039655888,0.30690955405539655,0.3195260260967498,0.32306080270320814,0.08172341689784476,0.08262834992814572,0.0837016467718368,0.0,0.0,0.0,0.0,0.0,6.050555594558722,5.943366295443636,0.02553191489361702,0.9461077844311377,0.9378446894455175,0.9024390243902439,0.9034160213747112,0.9381663113006397,0.9439326832560498,0.9289043733740071,0.9283977980254261,0.9024390243902439,0.9034160213747112
10,0.04866749768329913,0.0,0.3237399902115477,0.3112637144453982,0.3295689136423963,0.3303873173733975,0.047852182102964276,0.048134979748345436,0.0495536892655048,0.0,0.0,0.0,0.0,0.0,6.384647187841365,6.054012890903462,0.05106382978723404,0.9670658682634731,0.9638127181881014,0.8878048780487805,0.8880425367085991,0.9424307036247335,0.9495999978886689,0.9324338166456624,0.9338184175951231,0.8878048780487805,0.8880425367085991
