epoch,classification_loss,sam_perturbed_classification_loss,mmd_loss,mmd_photo__art_painting,mmd_photo__cartoon,mmd_art_painting__cartoon,mmd_median_photo__art_painting,mmd_median_photo__cartoon,mmd_median_art_painting__cartoon,mmd_off_diagonal_zeros_photo__art_painting,mmd_off_diagonal_zeros_photo__cartoon,mmd_off_diagonal_zeros_art_painting__cartoon,sam_first_gradient_norm,sam_perturbation_norm,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1
1,2.717444129193083,0.0,0.38339492653278595,0.36127309697739624,0.3890585057278897,0.39985314328619775,0.013881812285994303,0.014260872536860756,0.01322033623467463,0.0,0.0,0.0,0.0,0.0,1860.6996066065124,20.00000010246334,1.0,0.12275449101796407,0.03123809523809524,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04642857142857143,0.14705819522222394,0.036424990531281204,0.12275449101796407,0.03123809523809524
2,3.099518382295649,0.0,0.3599308859160606,0.345396271157772,0.3677364856638807,0.36665987055352395,7.584820392090155e-09,8.270851936192334e-09,8.200387509936247e-09,0.0,0.0,0.0,0.0,0.0,2965.23045383845,20.000000040944197,1.0,0.11377245508982035,0.029185867895545316,0.18536585365853658,0.04467960023515579,0.16631130063965885,0.040741708017759205,0.15514986979600529,0.03820239204948677,0.11377245508982035,0.029185867895545316
3,3.726743650943675,0.0,0.4158950538077253,0.38354595265489944,0.46532515972218613,0.39881401163466434,2.696531632145539e-09,3.011317385991765e-09,2.9887423786436513e-09,0.0,0.0,0.0,0.0,0.0,3700.900335881559,19.999999975811292,1.0,0.11077844311377245,0.02849441663457836,0.09024390243902439,0.023649728347714925,0.057569296375266525,0.01555299539170507,0.08619721397602113,0.02256571345799945,0.057569296375266525,0.01555299539170507
4,3.944545297927045,0.0,0.37941236280380414,0.3636256106356357,0.39724607163287223,0.3773653740578509,1.3897710419837918e-09,1.5300562676184022e-09,1.513223161669081e-09,0.0,0.0,0.0,0.0,0.0,3690.7205132216195,20.000000066467724,1.0,0.16766467065868262,0.041025641025641026,0.14390243902439023,0.035942735303076456,0.12366737739872068,0.0314448359989157,0.14507816236059787,0.03613773744254439,0.12366737739872068,0.0314448359989157
5,3.3424648802331154,0.0,0.3831029493123927,0.3524100750050646,0.4155404618445863,0.38135827652951504,1.3614723314457829e-10,1.5386287264220897e-10,1.5536809448329087e-10,0.0,0.0,0.0,0.0,0.0,3839.7122767662,19.99999999229531,1.0,0.11976047904191617,0.030557677616501144,0.0975609756097561,0.025396825396825397,0.13859275053304904,0.034777956126270736,0.11863806839490709,0.030244153046532423,0.0975609756097561,0.025396825396825397
6,3.4867087795379312,0.0,0.3866535904559683,0.3549013766836613,0.41131543707340323,0.3937439238771479,2.2806997955024683e-11,2.618999254316738e-11,2.5844638648453905e-11,0.0,0.0,0.0,0.0,0.0,4019.792678869142,20.00000003719431,1.0,0.11377245508982035,0.029185867895545316,0.18536585365853658,0.04467960023515579,0.16631130063965885,0.040741708017759205,0.15514986979600529,0.03820239204948677,0.11377245508982035,0.029185867895545316
7,3.645145280310448,0.0,0.370052507202676,0.3544677693793114,0.37892181619684745,0.37676790724409387,6.891065597506154e-12,7.741876105360774e-12,7.869155501750842e-12,0.0,0.0,0.0,0.0,0.0,4719.26428989014,19.99999996073582,1.0,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208
8,4.0257701802760995,0.0,0.3736737652661953,0.34167246514178334,0.3964460809180077,0.3829027165757849,2.53485648177996e-12,2.85507152466655e-12,2.958435770390083e-12,0.0,0.0,0.0,0.0,0.0,5031.058598301888,20.00000006149179,1.0,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208
9,3.577565636533372,0.0,0.370692000871009,0.3345162787335984,0.3986115780282528,0.3789481112297545,1.8928964453337584e-12,2.150205660408881e-12,2.168270602866e-12,0.0,0.0,0.0,0.0,0.0,4691.857551444249,19.99999995027944,1.0,0.11976047904191617,0.030557677616501144,0.0975609756097561,0.025396825396825397,0.13859275053304904,0.034777956126270736,0.11863806839490709,0.030244153046532423,0.0975609756097561,0.025396825396825397
10,3.5558164358139037,0.0,0.37282179860358544,0.33653108718547414,0.39715383103553287,0.38478044246105436,8.960602099772681e-13,1.0405706748620372e-12,1.073014006875633e-12,0.0,0.0,0.0,0.0,0.0,4581.986890922762,19.999999980073202,1.0,0.10778443113772455,0.0277992277992278,0.13902439024390245,0.03487304986234323,0.14712153518123666,0.03664365374402549,0.1313101188542879,0.03310531046853218,0.10778443113772455,0.0277992277992278
