epoch,classification_loss,mmd_loss,mmd_floor_activation_fraction,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,mmd_photo__art_painting,mmd_current_median_photo__art_painting,mmd_effective_median_photo__art_painting,mmd_frozen_floor_photo__art_painting,mmd_floor_activation_fraction_photo__art_painting,mmd_off_diagonal_zeros_photo__art_painting,mmd_photo__cartoon,mmd_current_median_photo__cartoon,mmd_effective_median_photo__cartoon,mmd_frozen_floor_photo__cartoon,mmd_floor_activation_fraction_photo__cartoon,mmd_off_diagonal_zeros_photo__cartoon,mmd_art_painting__cartoon,mmd_current_median_art_painting__cartoon,mmd_effective_median_art_painting__cartoon,mmd_frozen_floor_art_painting__cartoon,mmd_floor_activation_fraction_art_painting__cartoon,mmd_off_diagonal_zeros_art_painting__cartoon,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1
1,0.4696741932408607,0.33262619769319574,0.9900709219858156,11.73070278942324,11.528593436807896,0.05106382978723404,0.31318921028299535,0.6656262207538524,0.8772861361503601,0.8772861361503601,1.0,0.0,0.34928556503133573,0.6890268838151973,0.8917795668257044,0.8917758464813232,0.9957446808510638,0.0,0.33540378935793613,0.6093729871384641,0.8034355665775056,0.8030382394790649,0.9744680851063829,0.0,0.9341317365269461,0.9224999602015366,0.8512195121951219,0.8414697225587646,0.8805970149253731,0.8910129368254408,0.8886494212158138,0.8849942065285806,0.8512195121951219,0.8414697225587646
2,0.20845774273051226,0.27213484923890296,1.0,9.362289312767924,9.236179418123955,0.02553191489361702,0.26464041851936504,0.6066629398376384,0.8772861361503601,0.8772861361503601,1.0,0.0,0.2704294539512472,0.6225045797672678,0.8917758464813232,0.8917758464813232,1.0,0.0,0.2813346507701468,0.5721706101234924,0.8030382394790649,0.8030382394790649,1.0,0.0,0.937125748502994,0.9273085786461222,0.8951219512195122,0.8931298106798593,0.9232409381663113,0.9284430132314033,0.9184962126296058,0.9162938008524616,0.8951219512195122,0.8931298106798593
3,0.13464452847392555,0.22668595910072326,1.0,8.05237056903716,8.030015952822929,0.02127659574468085,0.2172728071821497,0.537921175170452,0.8772861361503601,0.8772861361503601,1.0,0.0,0.22410776868779608,0.5486820936203003,0.8917758464813232,0.8917758464813232,1.0,0.0,0.2386772815217363,0.5128747185494037,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9341317365269461,0.9288373026399362,0.8585365853658536,0.8554377513286625,0.8976545842217484,0.907574565757867,0.8967743020381828,0.8972832065754885,0.8585365853658536,0.8554377513286625
4,0.1199467450863325,0.217603751636566,1.0,7.455461180029144,7.4215046399540245,0.02553191489361702,0.20416631292789542,0.49569964358147156,0.8772861361503601,0.8772861361503601,1.0,0.0,0.21324929582311752,0.5110770542570885,0.8917758464813232,0.8917758464813232,1.0,0.0,0.23539562732615368,0.48594798306201364,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9640718562874252,0.9554649614492222,0.8853658536585366,0.8796290388467887,0.906183368869936,0.90707910932265,0.9185403596052993,0.9140577032062204,0.8853658536585366,0.8796290388467887
5,0.09387147614987508,0.19350980051020358,1.0,6.480925504477501,6.428041389279143,0.02127659574468085,0.1828852410012103,0.4388934962292935,0.8772861361503601,0.8772861361503601,1.0,0.0,0.18857166817847718,0.4462087761848531,0.8917758464813232,0.8917758464813232,1.0,0.0,0.20907247624498732,0.43918069664468157,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9509750611741505,0.8829268292682927,0.8852452884927705,0.9445628997867804,0.9512805807572905,0.9285245204634675,0.9291669768080705,0.8829268292682927,0.8852452884927705
6,0.08424542020050253,0.1690971351684408,1.0,6.441420843890579,6.32489894853103,0.029787234042553193,0.1607576552857744,0.3847247547291695,0.8772861361503601,0.8772861361503601,1.0,0.0,0.16085651884687707,0.39116314104262817,0.8917758464813232,0.8917758464813232,1.0,0.0,0.18567721590082698,0.3815183961010994,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9521028421661554,0.8878048780487805,0.8806858198795305,0.9466950959488273,0.950863104870577,0.9308612687776456,0.9278839223054209,0.8878048780487805,0.8806858198795305
7,0.09263973374283833,0.16519821764940912,1.0,6.918951249518354,6.909921348088976,0.00851063829787234,0.15443284866657664,0.36318008024641807,0.8772861361503601,0.8772861361503601,1.0,0.0,0.16509224506134682,0.375606133836381,0.8917758464813232,0.8917758464813232,1.0,0.0,0.1760695457458496,0.36236853916594325,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9519583392147111,0.8902439024390244,0.8819705090013213,0.9339019189765458,0.941464518229479,0.9274098845836333,0.9251311221485038,0.8902439024390244,0.8819705090013213
8,0.05299325325003667,0.14445196241140365,1.0,4.678133166817248,4.649599730248473,0.01276595744680851,0.13167619096471908,0.3284777152411481,0.8772861361503601,0.8772861361503601,1.0,0.0,0.14664936065673828,0.3351447381871812,0.8917758464813232,0.8917758464813232,1.0,0.0,0.15503032359671085,0.3285026509076991,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9730538922155688,0.9673467796342711,0.8829268292682927,0.8804547968720505,0.9232409381663113,0.9291051720285551,0.9264072198833909,0.9256355828449588,0.8829268292682927,0.8804547968720505
9,0.04695565983420238,0.13114292169822023,1.0,4.664302008138217,4.623501942152772,0.02127659574468085,0.12513372137191447,0.2849934747244449,0.8772861361503601,0.8772861361503601,1.0,0.0,0.12933718295807534,0.2934955189202694,0.8917758464813232,0.8917758464813232,1.0,0.0,0.1389578494619816,0.29100689399749674,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9610778443113772,0.9556112383195364,0.8902439024390244,0.8845283377750707,0.9488272921108742,0.952716188637637,0.9333830129537586,0.9309519215774147,0.8902439024390244,0.8845283377750707
10,0.052277926347256226,0.11456530593494152,1.0,5.154105083491656,4.849286786031282,0.02553191489361702,0.10405180707890936,0.2349020701773623,0.8772861361503601,0.8772861361503601,1.0,0.0,0.11140941457545504,0.23895562906214532,0.8917758464813232,0.8917758464813232,1.0,0.0,0.12823468675004676,0.2428514693011629,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9431137724550899,0.935695078694153,0.875609756097561,0.8753960645578875,0.9019189765458422,0.9156664809309897,0.906880835032831,0.9089192080610101,0.875609756097561,0.8753960645578875
11,0.04390892369951,0.10829644180992816,1.0,4.347508504735475,4.335083609621694,0.00425531914893617,0.10118384665631233,0.2197234645168832,0.8772861361503601,0.8772861361503601,1.0,0.0,0.1052603376672623,0.2260764756735335,0.8917758464813232,0.8917758464813232,1.0,0.0,0.11844513264108211,0.22484331714346054,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9512006473410427,0.9073170731707317,0.9036467895321525,0.9317697228144989,0.9392648827212841,0.9323902094401867,0.9313707731981599,0.9073170731707317,0.9036467895321525
12,0.046579973372025324,0.09288772281180037,1.0,4.674576296173582,4.493464278141926,0.029787234042553193,0.0891757863633176,0.19749299249750502,0.8772861361503601,0.8772861361503601,1.0,0.0,0.09256188615839532,0.19951251440859855,0.8917758464813232,0.8917758464813232,1.0,0.0,0.0969254879241294,0.19811629139362497,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9251497005988024,0.9147124882060412,0.8658536585365854,0.8650770748809525,0.9189765458422174,0.9306363738644817,0.9033266349925352,0.9034753123171585,0.8658536585365854,0.8650770748809525
13,0.03873303393785774,0.0867768812528316,1.0,3.9543671030165672,3.9085211097019252,0.00425531914893617,0.08037582356879051,0.176378813734714,0.8772861361503601,0.8772861361503601,1.0,0.0,0.08249214050617625,0.177896837192647,0.8917758464813232,0.8917758464813232,1.0,0.0,0.09746267237561815,0.18390361673020303,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9491017964071856,0.9411001360356919,0.9097560975609756,0.9142298450439708,0.9466950959488273,0.9524642235703874,0.9351843299723295,0.9359314015500168,0.9097560975609756,0.9142298450439708
14,0.030561468506416434,0.08350740333503866,1.0,3.4890645850658086,3.477041053490319,0.00425531914893617,0.07802522334646671,0.1620834931097132,0.8772861361503601,0.8772861361503601,1.0,0.0,0.08058934313185671,0.16257477608766963,0.8917758464813232,0.8917758464813232,1.0,0.0,0.09190763717002057,0.1688478170557225,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9506501598432348,0.9,0.8997459772118369,0.9402985074626866,0.9446468770819194,0.9327941132660053,0.9316810047123303,0.9,0.8997459772118369
15,0.061638016778228936,0.08046102561849229,1.0,5.7502330848669425,5.602219036737361,0.02127659574468085,0.07675880472710792,0.16087238284501623,0.8772861361503601,0.8772861361503601,1.0,0.0,0.07636039206322204,0.16009058346773716,0.8917758464813232,0.8917758464813232,1.0,0.0,0.0882638728364985,0.1662582795670692,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9341317365269461,0.9220179484169673,0.8902439024390244,0.8884121403008564,0.9275053304904051,0.9327872967104917,0.9172936564854585,0.9144057951427716,0.8902439024390244,0.8884121403008564
16,0.0397291730048969,0.07817341912775598,1.0,4.316136142449737,4.227410052841904,0.02127659574468085,0.07509560686476688,0.16431370079517366,0.8772861361503601,0.8772861361503601,1.0,0.0,0.07471369885383768,0.16409811824560167,0.8917758464813232,0.8917758464813232,1.0,0.0,0.08471094496706699,0.17002881137614553,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9503157556512939,0.9,0.8994900514747551,0.9381663113006397,0.9452017555057176,0.9320833812119896,0.9316691875439221,0.9,0.8994900514747551
17,0.035294630780748425,0.07261856493163617,1.0,3.7925735520162918,3.765031132664072,0.00425531914893617,0.06741670040374106,0.1396285336702428,0.8772861361503601,0.8772861361503601,1.0,0.0,0.06938379165974069,0.14078169610906155,0.8917758464813232,0.8917758464813232,1.0,0.0,0.08105519680266685,0.14933950178166652,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9550898203592815,0.950242060615123,0.9073170731707317,0.9009498764007157,0.9339019189765458,0.9370079339052505,0.9321029375021862,0.9293999569736964,0.9073170731707317,0.9009498764007157
18,0.031136902847375747,0.06010641450102025,1.0,3.765844917202051,3.76065271606905,0.00851063829787234,0.05674568947325362,0.11948604377660345,0.8772861361503601,0.8772861361503601,1.0,0.0,0.05799020401974942,0.12180426840452438,0.8917758464813232,0.8917758464813232,1.0,0.0,0.06558334472331595,0.12569290136403224,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9542329307187701,0.9024390243902439,0.905993954592623,0.9509594882729211,0.9543332588150515,0.9371607816661648,0.9381867147088148,0.9024390243902439,0.905993954592623
19,0.02874947703260543,0.0592251015787429,1.0,3.1570289646086107,3.1089609856032836,0.00851063829787234,0.05325049948185048,0.11484960457111927,0.8772861361503601,0.8772861361503601,1.0,0.0,0.05795316290348134,0.11691577317232782,0.8917758464813232,0.8917758464813232,1.0,0.0,0.06647163756350254,0.12315788414884121,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9401197604790419,0.9310779737292266,0.8951219512195122,0.8974240348702286,0.9424307036247335,0.948544602763264,0.9258908051077626,0.925682203787573,0.8951219512195122,0.8974240348702286
20,0.036023573551415694,0.056755077149322694,1.0,3.6414097286193803,3.5141395050096205,0.02127659574468085,0.0527992309407985,0.11259676008782488,0.8772861361503601,0.8772861361503601,1.0,0.0,0.054724528941702336,0.11512154366107698,0.8917758464813232,0.8917758464813232,1.0,0.0,0.06274146627872548,0.12002221650265633,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9550898203592815,0.9474777850102633,0.8878048780487805,0.8888977395604266,0.9488272921108742,0.9543865733110145,0.9305739968396454,0.9302540326272348,0.8878048780487805,0.8888977395604266
21,0.05101365991443519,0.0599255816654322,1.0,4.730309150965983,4.630722960580173,0.02127659574468085,0.05628175532564204,0.11787549273130742,0.8772861361503601,0.8772861361503601,1.0,0.0,0.05851660789327418,0.12003704743816497,0.8917758464813232,0.8917758464813232,1.0,0.0,0.06497837634796792,0.12060165665251144,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9580838323353293,0.9515163011491733,0.9073170731707317,0.9108377633877158,0.9488272921108742,0.9552519401505162,0.9380760658723117,0.9392020015624684,0.9073170731707317,0.9108377633877158
22,0.04175038389129189,0.05838235650766403,1.0,3.9811214361659237,3.861161741183939,0.01276595744680851,0.05677437477923454,0.11444230304753526,0.8772861361503601,0.8772861361503601,1.0,0.0,0.05408736492725129,0.11312855237976034,0.8917758464813232,0.8917758464813232,1.0,0.0,0.06428532498948117,0.1178721121334015,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9610778443113772,0.9546166190062341,0.8926829268292683,0.8942247098072877,0.9402985074626866,0.946000538157002,0.9313530928677775,0.9316139556568412,0.8926829268292683,0.8942247098072877
23,0.05542701896519383,0.06016057235129336,1.0,4.9885871693205415,4.917625173948724,0.029787234042553193,0.0579175888223851,0.11761437790825012,0.8772861361503601,0.8772861361503601,1.0,0.0,0.05557372519310484,0.1158318559223033,0.8917758464813232,0.8917758464813232,1.0,0.0,0.06699039783883602,0.1212593934637435,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9520958083832335,0.9480627141918143,0.8829268292682927,0.8774296818006037,0.9232409381663113,0.930261003787251,0.9194211919392791,0.9185844665932231,0.8829268292682927,0.8774296818006037
24,0.033254303371060154,0.05241341982433136,1.0,3.8598147137377743,3.6245263366106584,0.01276595744680851,0.051092851922867145,0.10326396092138392,0.8772861361503601,0.8772861361503601,1.0,0.0,0.049842333286366565,0.10356382854441379,0.8917758464813232,0.8917758464813232,1.0,0.0,0.05630506961903674,0.1104527121845712,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9491017964071856,0.9425067922981246,0.9146341463414634,0.9184732268413031,0.9488272921108742,0.9544862830095664,0.9375210782865078,0.938488767382998,0.9146341463414634,0.9184732268413031
25,0.00976393806750395,0.048828043891711435,1.0,1.32563565086896,1.32563565086896,0.0,0.04766746480414208,0.09820101616230417,0.8772861361503601,0.8772861361503601,1.0,0.0,0.04732665609806142,0.09883466613419513,0.8917758464813232,0.8917758464813232,1.0,0.0,0.051490006548293096,0.10206318700567205,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9640718562874252,0.9568413478846398,0.9,0.905926086081068,0.9680170575692963,0.9728535317013297,0.9440296379522405,0.9452069885556792,0.9,0.905926086081068
26,0.02733902776914797,0.044637255846185886,1.0,3.9169924563011707,3.671200401179895,0.02127659574468085,0.0409353864953873,0.08928941960664506,0.8772861361503601,0.8772861361503601,1.0,0.0,0.04373161031844768,0.08934585474272992,0.8917758464813232,0.8917758464813232,1.0,0.0,0.049244767046989275,0.09508830906545862,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9520958083832335,0.9436846865341375,0.875609756097561,0.8782049077166014,0.9509594882729211,0.9563486426840465,0.9262216842512384,0.9260794123115952,0.875609756097561,0.8782049077166014
27,0.03573147551233268,0.0502953523730344,1.0,4.079205132813344,3.9504051513992913,0.03404255319148936,0.04804819594038294,0.09819419368150387,0.8772861361503601,0.8772861361503601,1.0,0.0,0.049308001741449885,0.0999874473252195,0.8917758464813232,0.8917758464813232,1.0,0.0,0.05352985503825736,0.10312992898707694,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9311377245508982,0.9220661056120213,0.8804878048780488,0.877603104001176,0.9232409381663113,0.925048234350662,0.9116221558650861,0.908239147987953,0.8804878048780488,0.877603104001176
28,0.02834322962580506,0.04548644818603358,1.0,3.2156470065987515,3.205798150101708,0.00851063829787234,0.04170563474614569,0.08886363807510822,0.8772861361503601,0.8772861361503601,1.0,0.0,0.0429176391439235,0.0881061558552245,0.8917758464813232,0.8917758464813232,1.0,0.0,0.05183606655039686,0.09350822789871946,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9700598802395209,0.9656971380646517,0.9,0.8941318702153734,0.9552238805970149,0.9603425728956463,0.9417612536121786,0.9400571937252238,0.9,0.8941318702153734
29,0.018455175024111783,0.040895446956633254,1.0,2.821906592171395,2.793658887598099,0.01276595744680851,0.038095230751849236,0.07991854500104772,0.8772861361503601,0.8772861361503601,1.0,0.0,0.04057681915607858,0.08027508617081541,0.8917758464813232,0.8917758464813232,1.0,0.0,0.04401428750220766,0.08349895588261017,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9461077844311377,0.9369767823077172,0.9097560975609756,0.9112308402333331,0.9211087420042644,0.9309411289335962,0.925657541332126,0.9263829171582154,0.9097560975609756,0.9112308402333331
30,0.032144529869370636,0.0409125556574857,1.0,3.3579756100894667,3.2810835496718345,0.02553191489361702,0.03748747845913501,0.07587382386022426,0.8772861361503601,0.8772861361503601,1.0,0.0,0.039523025269203996,0.0766803965289542,0.8917758464813232,0.8917758464813232,1.0,0.0,0.04572715962186773,0.08147923640431241,0.8030382394790649,0.8030382394790649,1.0,0.0,0.9520958083832335,0.9451603760412547,0.875609756097561,0.8762150421357312,0.9445628997867804,0.950095246750303,0.9240894880891917,0.9238235549757631,0.875609756097561,0.8762150421357312
