epoch,learning_rate,loss,known_ce,classifier_placeholder,data_placeholder,validation_accuracy
1,0.1,1.9281685127894084,1.9281685127894084,0.0,0.0,0.3996
2,0.09997532801828658,1.4181354596455893,1.4181354596455893,0.0,0.0,0.5348
3,0.09990133642141358,1.1167304004457261,1.1167304004457261,0.0,0.0,0.5944
4,0.099778098230154,0.8894280922889709,0.8894280922889709,0.0,0.0,0.6682
5,0.0996057350657239,0.7383094093958537,0.7383094093958537,0.0,0.0,0.721
6,0.09938441702975688,0.6408083445760939,0.6408083445760939,0.0,0.0,0.769
7,0.09911436253643444,0.5857809383392334,0.5857809383392334,0.0,0.0,0.7784
8,0.09879583809693737,0.5354489430904389,0.5354489430904389,0.0,0.0,0.794
9,0.09842915805643156,0.5120855619006687,0.5120855619006687,0.0,0.0,0.7544
10,0.09801468428384716,0.49259044853846234,0.49259044853846234,0.0,0.0,0.7626
11,0.09755282581475769,0.47057723308139376,0.47057723308139376,0.0,0.0,0.818
12,0.09704403844771128,0.4556268095652262,0.4556268095652262,0.0,0.0,0.7882
13,0.09648882429441258,0.4378173602581024,0.4378173602581024,0.0,0.0,0.8036
14,0.09588773128419906,0.43000501018630133,0.43000501018630133,0.0,0.0,0.7588
15,0.09524135262330098,0.417427129512363,0.417427129512363,0.0,0.0,0.8016
16,0.0945503262094184,0.4084556659168667,0.4084556659168667,0.0,0.0,0.8408
17,0.09381533400219319,0.39113945974244013,0.39113945974244013,0.0,0.0,0.7984
18,0.0930371013501972,0.3820285402721829,0.3820285402721829,0.0,0.0,0.8306
19,0.09221639627510078,0.3766603053410848,0.3766603053410848,0.0,0.0,0.841
20,0.09135402871372812,0.3693374068578084,0.3693374068578084,0.0,0.0,0.786
21,0.09045084971874741,0.36543685970306394,0.36543685970306394,0.0,0.0,0.796
22,0.08950775061878455,0.3565772958331638,0.3565772958331638,0.0,0.0,0.8528
23,0.0885256621387895,0.35190947548018564,0.35190947548018564,0.0,0.0,0.804
24,0.08750555348152302,0.3424457992447747,0.3424457992447747,0.0,0.0,0.8242
25,0.08644843137107061,0.342716515856319,0.342716515856319,0.0,0.0,0.8372
26,0.0853553390593274,0.3314041785240173,0.3314041785240173,0.0,0.0,0.8172
27,0.08422735529643446,0.33157409185833403,0.33157409185833403,0.0,0.0,0.8596
28,0.08306559326618262,0.3158304459200965,0.3158304459200965,0.0,0.0,0.7946
29,0.08187119948743452,0.3181599254078335,0.3181599254078335,0.0,0.0,0.847
30,0.08064535268264886,0.3126639932923847,0.3126639932923847,0.0,0.0,0.8092
31,0.0793892626146237,0.3090186691655053,0.3090186691655053,0.0,0.0,0.8488
32,0.07810416889260657,0.3052098790592617,0.3052098790592617,0.0,0.0,0.8712
33,0.07679133974894986,0.30016143408616386,0.30016143408616386,0.0,0.0,0.8672
34,0.0754520707875186,0.2928215725845761,0.2928215725845761,0.0,0.0,0.848
35,0.0740876837050858,0.28472305290434097,0.28472305290434097,0.0,0.0,0.8496
36,0.07269952498697738,0.2794734717263116,0.2794734717263116,0.0,0.0,0.8786
37,0.07128896457825366,0.2802992422527737,0.2802992422527737,0.0,0.0,0.8642
38,0.06985739453173906,0.2772498817390866,0.2772498817390866,0.0,0.0,0.8714
39,0.06840622763423394,0.263782998418808,0.263782998418808,0.0,0.0,0.8324
40,0.06693689601226462,0.26445308108329774,0.26445308108329774,0.0,0.0,0.8522
41,0.06545084971874741,0.25679530986150106,0.25679530986150106,0.0,0.0,0.861
42,0.06394955530196152,0.24715052778058583,0.24715052778058583,0.0,0.0,0.8336
43,0.062434494358242776,0.25163786051008435,0.25163786051008435,0.0,0.0,0.861
44,0.06090716206982718,0.23847101900047726,0.23847101900047726,0.0,0.0,0.87
45,0.05936906572928628,0.2426568164454566,0.2426568164454566,0.0,0.0,0.8786
46,0.05782172325201159,0.23047969652811687,0.23047969652811687,0.0,0.0,0.8626
47,0.056266661678215264,0.22142527298927306,0.22142527298927306,0.0,0.0,0.8838
48,0.05470541566592575,0.21704777042600842,0.21704777042600842,0.0,0.0,0.8734
49,0.053139525976465714,0.21395389699671002,0.21395389699671002,0.0,0.0,0.8762
50,0.05157053795390645,0.20983720917171902,0.20983720917171902,0.0,0.0,0.8742
51,0.05000000000000004,0.20161355187098184,0.20161355187098184,0.0,0.0,0.8746
52,0.04842946204609362,0.19449497214423286,0.19449497214423286,0.0,0.0,0.8856
